Text_ID,Mobile_Tech_Flag_Predicted,Headline_Generated_Eng_Lang
article_2064,0,
article_2065,0,
article_2067,0,
article_3438,0,
article_3439,1,OnePlus Nord N1 5G tipped to be the successor of Nord N10 5G
article_3440,0,
article_0238,0,
article_0239,1,Ford and Google will Accelerate Auto Innovation by reinventing Connected Vehicle Experience
article_0240,0,
article_3444,1,Poco M3 Launching Today in India
article_3445,0,
article_3446,0,
article_3478,1,Samsung Galaxy M02 Price In India To Be Unveiled
article_3479,1,Realme X7 Pro complete specs listed on official website
article_3480,0,
tweet_0140,0,
tweet_0141,0,
tweet_0142,1,
tweet_0143,0,
tweet_0144,1,
tweet_0145,0,
tweet_0146,1,
tweet_0147,0,
tweet_3001,1,
tweet_3002,0,
tweet_3003,1,
tweet_3004,1,
tweet_3005,0,
tweet_3006,1,
tweet_3007,1,
